fecha,distancia_total,hsr_abs_m,hmld_m,sprints_distancia_m,acc_3,dec_3,player_load,rpe,carga_explosiva,carga_sostenida,carga_regenerativa,rendimiento_diario,hsr_rel_m,sprints_cantidad,sprints_vel_max_kmh,velocidad_prom_m_min
2025-07-28,5437,843,1637,326,72,73,81,6,1450.1,1653.2,1478.5,1970-01-01 00:00:00.000000089,215,8,33.0,96
2025-08-04,5733,197,1269,88,81,87,102,6,731.9,1289.4,2133.5,1970-01-01 00:00:00.000000061,21,7,27.1,80
2025-06-04,10658,1910,2227,577,65,35,192,8,2609.5,2265.4,3260.5,1970-01-01 00:00:00.000000100,41,7,27.4,105
2025-06-06,10635,1873,2071,185,50,28,175,7,2492.6,2106.0,3345.5,1970-01-01 00:00:00.000000100,88,5,27.7,116
2025-06-08,7785,1305,1785,476,61,32,122,8,1914.0,1809.4,2347.5,1970-01-01 00:00:00.000000094,52,17,28.1,55
2025-06-16,8368,1267,1683,664,60,65,143,6,1922.8999999999999,1711.6,2709.0,1970-01-01 00:00:00.000000096,236,12,28.0,71
2025-06-21,608,262,252,145,2,1,9,0,342.9,253.8,47.0,1970-01-01 00:00:00.000000009,121,4,28.0,89
2025-06-22,560,11,73,0,2,8,9,3,39.2,74.8,238.0,1970-01-01 00:00:00.000000000,0,0,21.5,103
2025-07-05,3908,868,1031,389,35,25,67,0,1264.1,1044.4,1004.5,1970-01-01 00:00:00.000000070,0,11,25.5,70
2025-07-21,6467,470,1213,254,35,35,118,8,806.5,1236.6,2392.0,1970-01-01 00:00:00.000000072,200,10,33.0,95
2025-07-28,4996,736,1355,267,58,57,96,6,1244.6999999999998,1374.2,1452.5,1970-01-01 00:00:00.000000084,173,9,32.8,88
2025-07-02,4796,1210,1770,140,46,28,78,8,1675.0,1785.6,908.0,1970-01-01 00:00:00.000000081,1537,3,25.2,129
2025-07-03,8035,230,1463,9,40,44,141,8,511.0,1491.2,3171.0,1970-01-01 00:00:00.000000056,591,1,25.9,150
2025-07-04,7644,64,1472,16,78,89,170,10,543.3,1506.0,3054.0,1970-01-01 00:00:00.000000057,403,2,24.5,58
2025-07-05,5512,156,1154,22,68,43,105,8,508.7,1175.0,2101.0,1970-01-01 00:00:00.000000042,268,2,24.9,96
2025-07-07,7036,435,1633,200,83,69,126,6,1003.5,1658.2,2484.0,1970-01-01 00:00:00.000000075,223,12,30.7,79
2025-07-09,6533,430,1314,271,42,47,113,7,804.5,1336.6,2394.5,1970-01-01 00:00:00.000000059,227,9,33.3,82
2025-07-12,7954,612,1872,333,58,67,130,5,1165.9,1898.0,2735.0,1970-01-01 00:00:00.000000089,240,18,31.2,105
2025-07-14,5299,360,1217,147,82,43,94,5,840.5,1235.8,1861.0,1970-01-01 00:00:00.000000055,100,11,30.0,75
2025-07-16,6300,424,1254,259,47,53,103,6,862.3,1274.6,2311.0,1970-01-01 00:00:00.000000059,140,16,28.7,73
2025-07-21,1251,0,274,0,0,0,22,3,0.0,278.4,488.5,1970-01-01 00:00:00.000000000,0,0,20.9,141
2025-07-23,4994,497,1073,208,30,28,90,7,801.4,1091.0,1712.0,1970-01-01 00:00:00.000000049,154,9,31.4,85
2025-06-04,10190,694,1845,57,64,38,163,8,1139.8,1877.6,3825.5,1970-01-01 00:00:00.000000100,0,4,25.9,103
2025-06-06,11000,987,1995,201,39,43,188,7,1453.8999999999999,2032.6,4009.0,1970-01-01 00:00:00.000000100,79,9,32.2,118
2025-06-08,7939,1511,2145,1076,72,40,125,9,2274.2,2170.0,2141.5,1970-01-01 00:00:00.000000093,69,29,28.4,56
2025-06-11,6177,613,1281,303,37,52,107,7,1066.6,1302.4,2141.5,1970-01-01 00:00:00.000000086,74,18,31.8,89
2025-06-16,9011,1363,1788,735,59,43,139,6,1970.1,1815.8,2930.0,1970-01-01 00:00:00.000000100,0,10,27.0,77
2025-06-22,7175,601,1471,386,38,60,114,9,1060.1999999999998,1493.8,2551.5,1970-01-01 00:00:00.000000096,219,15,33.6,112
2025-07-09,6250,422,1127,297,55,55,104,7,878.9,1147.8,2350.5,1970-01-01 00:00:00.000000073,115,14,32.5,79
2025-07-12,8094,736,1698,432,47,69,117,8,1316.6999999999998,1721.4,2830.0,1970-01-01 00:00:00.000000099,131,24,31.9,116
2025-07-21,1287,0,300,0,2,2,25,3,11.0,305.0,493.5,1970-01-01 00:00:00.000000000,0,0,20.9,145
2025-07-23,4505,565,956,339,23,37,73,6,919.5,970.6,1492.0,1970-01-01 00:00:00.000000061,97,16,32.2,76
2025-06-29,2918,1337,1464,29,19,5,45,6,1678.8999999999999,1473.0,58.5,1970-01-01 00:00:00.000000083,0,1,24.4,142
2025-07-02,11232,1651,3255,418,106,81,36,10,2576.7,3262.2,3163.0,1970-01-01 00:00:00.000000098,55,15,29.4,105
2025-07-04,6481,62,1156,0,86,66,19,10,497.4,1159.8,2631.5,1970-01-01 00:00:00.000000056,0,0,23.4,54
2025-07-14,5344,170,1104,56,91,50,0,7,622.0,1104.0,2035.0,1970-01-01 00:00:00.000000057,16,4,27.9,76
2025-07-21,7329,609,1426,323,38,42,0,9,1019.8,1426.0,2647.0,1970-01-01 00:00:00.000000093,95,14,32.1,108
2025-06-04,10484,1982,2451,9,58,46,177,8,2672.4,2486.4,3025.5,1970-01-01 00:00:00.000000096,0,1,25.5,103
2025-06-06,10471,2787,2123,52,45,38,176,7,3584.4,2158.2,2780.5,1970-01-01 00:00:00.000000095,45,2,27.3,114
2025-06-08,9263,1370,2038,474,85,39,149,9,2061.5,2067.8,2927.5,1970-01-01 00:00:00.000000096,255,13,27.0,63
2025-06-17,8365,1526,1909,681,52,25,143,6,2109.7,1937.6,2465.0,1970-01-01 00:00:00.000000091,233,12,32.0,133
2025-07-05,7187,547,1371,351,54,56,126,7,1038.4,1396.2,2634.5,1970-01-01 00:00:00.000000070,238,16,33.1,99
2025-07-08,5273,749,1248,291,36,35,89,6,1144.3,1265.8,1638.0,1970-01-01 00:00:00.000000064,142,10,29.1,110
2025-07-10,1004,0,22,0,2,4,20,3,16.0,26.0,491.0,1970-01-01 00:00:00.000000000,0,0,14.3,23
2025-07-12,9783,762,1989,368,44,64,160,8,1281.4,2021.0,3516.0,1970-01-01 00:00:00.000000099,238,15,32.8,126
2025-07-08,7285,257,1172,67,51,46,135,7,601.4,1199.0,2928.0,1970-01-01 00:00:00.000000072,291,5,27.3,68
2025-07-11,7433,959,1763,519,69,49,141,9,1550.3,1791.2,2355.5,1970-01-01 00:00:00.000000095,586,14,28.6,64
2025-07-16,9263,753,2152,182,61,51,175,7,1244.1,2187.0,3179.0,1970-01-01 00:00:00.000000100,203,6,30.4,94
2025-07-21,7248,349,1197,203,33,32,122,8,632.8,1221.4,2851.0,1970-01-01 00:00:00.000000074,221,7,29.8,107
2025-06-07,3269,348,718,295,29,24,47,0,594.5999999999999,727.4,1101.5,1970-01-01 00:00:00.000000052,267,6,30.1,85
2025-06-10,6393,363,1018,237,48,67,96,0,777.0999999999999,1037.2,2506.0,1970-01-01 00:00:00.000000087,202,6,27.7,72
2025-06-14,10381,944,2557,79,111,116,165,8,1765.8,2590.0,3440.0,1970-01-01 00:00:00.000000100,0,2,24.8,105
2025-06-15,4811,123,370,7,3,0,62,8,161.6,382.4,2159.0,1970-01-01 00:00:00.000000015,0,1,25.4,196
2025-06-16,8536,900,1705,726,87,100,130,8,1651.0,1731.0,2965.5,1970-01-01 00:00:00.000000100,612,12,28.2,60
2025-06-17,10098,425,1153,42,33,29,133,8,696.5,1179.6,4260.0,1970-01-01 00:00:00.000000092,0,3,24.7,135
2025-06-21,600,183,210,137,2,1,8,0,248.1,211.6,103.5,1970-01-01 00:00:00.000000007,126,4,27.4,105
2025-06-24,9651,151,1487,65,37,60,137,6,462.2,1514.4,4006.5,1970-01-01 00:00:00.000000079,22,4,27.7,124
2025-07-10,1413,0,35,0,10,12,24,5,60.0,39.8,689.0,1970-01-01 00:00:00.000000000,0,0,13.9,31
2025-07-14,5411,290,1227,112,82,48,83,7,744.0,1243.6,1947.0,1970-01-01 00:00:00.000000090,94,6,29.2,77
2025-07-17,2424,0,213,0,24,29,46,2,144.5,222.2,1105.5,1970-01-01 00:00:00.000000000,0,0,17.2,41
2025-07-28,5266,708,1301,259,50,57,76,6,1182.1,1316.2,1628.5,1970-01-01 00:00:00.000000089,177,8,31.5,93
2025-06-04,10933,1904,2443,542,74,57,197,8,2689.2999999999997,2482.4,3293.0,1970-01-01 00:00:00.000000100,296,8,26.0,107
2025-06-06,11411,1778,2167,205,54,64,212,7,2500.6,2209.4,3733.0,1970-01-01 00:00:00.000000100,129,9,26.1,121
2025-06-08,8565,1464,2187,717,96,62,157,7,2304.8,2218.4,2457.0,1970-01-01 00:00:00.000000094,548,21,27.5,59
2025-06-09,9066,178,1381,67,85,77,182,6,681.1,1417.4,3753.5,1970-01-01 00:00:00.000000067,63,4,27.6,57
2025-06-13,4802,326,1208,212,35,57,89,6,683.7,1225.8,1634.0,1970-01-01 00:00:00.000000049,188,9,31.2,131
2025-06-16,9988,1476,2103,489,86,98,166,6,2324.2,2136.2,3204.5,1970-01-01 00:00:00.000000100,382,10,28.0,80
